target_chembl_id,molecule_chembl_id,canonical_smiles,standard_type,assay_type,pchembl_value,RDKit_Molecule,Gasteiger/Marsili Partial Charges,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1 - Kappa3,"Chi0, Chi1",Chi0n - Chi4n,Chi0v - Chi4v,MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAmideBonds,"Num{Aromatic,Saturated,Aliphatic}Rings","Num{Aromatic,Saturated,Aliphatic}{Hetero,Carbo}cycles",RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA1 - PEOE_VSA14,SMR_VSA1 - SMR_VSA10,SlogP_VSA1 - SlogP_VSA12,EState_VSA1 - EState_VSA11,VSA_EState1 - VSA_EState10,MQNs,Topliss fragments,Autocorr2D,BCUT2D
CHEMBL205,CHEMBL100075,CC(C)c1cc(-c2ccccc2)cc(C(C)C)[n+]1CC(=O)OCCOc1ccc2nc(S(N)(=O)=O)sc2c1.[O-][Cl+3]([O-])([O-])[O-],Ki,B,8.15,<rdkit.Chem.rdchem.Mol object at 0x14529d0a0>,777,9.343416562887425e-07,1620.2577308392977,1281578208.0876703,-3.2099999999999995,777,777,777,777,0.011200000000003096,147.69819999999984,654.1630000000004,653.126849284,43,621.9070000000004,2,12,11,1,15,10,232,777,777,777,4,0.32142857142857145,777,777,204.7,255.29901150399735,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL100266,CN(C)CCOC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1,Ki,B,8.68,<rdkit.Chem.rdchem.Mol object at 0x10ded8dc0>,777,2.165406707639829,1032.2146215344071,657154.6905381193,-2.13,777,777,777,777,-0.2952999999999994,97.36920000000002,435.5090000000001,435.034096264,27,418.3730000000001,3,11,10,2,14,8,148,777,777,777,2,0.3076923076923077,777,777,161.64999999999998,159.80752636345824,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL100329,CCN(CC)CCNC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1,Ki,B,8.77,<rdkit.Chem.rdchem.Mol object at 0x14529d340>,777,2.103708056611507,1063.6161829383275,1973102.543944338,-2.13,777,777,777,777,0.05790000000000067,108.65390000000002,462.5790000000002,462.08138080400005,29,440.4030000000001,4,11,9,3,14,10,160,777,777,777,2,0.4,777,777,164.45,172.97372754635265,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL100456,CCc1cc(-c2ccccc2)cc(CC)[n+]1CC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1.[O-][Cl+3]([O-])([O-])[O-],Ki,B,8.15,<rdkit.Chem.rdchem.Mol object at 0x14529d3a0>,777,7.32120970071094e-07,1506.5544202142817,147050073.8648255,-3.0099999999999993,777,777,777,777,-1.127399999999997,127.45720000000004,582.0560000000003,581.0693344079998,38,557.8640000000003,2,11,10,1,14,7,202,777,777,777,4,0.20833333333333334,777,777,195.47,224.72569781690405,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL100580,Cc1cc(C)[n+](CC(=O)NNc2ccc(S(N)(=O)=O)cc2)c(C)c1.[O-][Cl+3]([O-])([O-])[O-],Ki,B,6.5,<rdkit.Chem.rdchem.Mol object at 0x14529d400>,777,7.491665113259853e-07,931.2189479850135,730192.7062346675,-2.3199999999999994,777,777,777,777,-4.065939999999997,90.42860000000005,448.8850000000002,448.0819476919999,29,427.7170000000002,4,11,8,3,13,5,160,777,777,777,2,0.25,777,777,197.41,169.7183008712944,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL100733,CC(C)c1cc(-c2ccccc2)cc(C(C)C)[n+]1CC(=O)NCCC(=O)Nc1nnc(S(N)(=O)=O)s1.[O-][Cl+3]([O-])([O-])[O-],Ki,B,8.22,<rdkit.Chem.rdchem.Mol object at 0x14529d460>,777,1.0795550786546776e-06,1408.8209447644776,346637682.51876986,-3.0900000000000003,777,777,777,777,-2.2241999999999944,137.78960000000004,631.1330000000003,630.1333316319999,41,599.8850000000002,4,14,11,3,17,10,224,777,777,777,3,0.375,777,777,240.26,243.20454664425608,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL100748,CCc1cc(-c2ccccc2)cc(CC)[n+]1CC(=O)Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1.[O-][Cl+3]([O-])([O-])[O-],Ki,B,7.82,<rdkit.Chem.rdchem.Mol object at 0x14529d4c0>,777,8.918915011213944e-07,1585.5396449967352,871027529.7766536,-4.02,777,777,777,777,-1.1703999999999972,142.58859999999993,617.0840000000002,616.1506959480001,42,587.8520000000003,4,13,10,3,15,9,222,777,777,777,4,0.18518518518518517,777,777,223.19,244.66659133947707,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL100757,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)OCCc1ccc(S(N)(=O)=O)cc1.[O-][Cl+3]([O-])([O-])[O-],Ki,B,7.47,<rdkit.Chem.rdchem.Mol object at 0x14529d520>,777,7.839997440667551e-07,1215.7580802788873,21093558.461688578,-2.8999999999999995,777,777,777,777,-2.0647599999999953,114.02520000000004,524.9790000000003,524.1020144399998,35,499.7790000000002,2,10,8,1,12,7,188,777,777,777,3,0.21739130434782608,777,777,182.58,205.18402203381083,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL100760,CCc1cc(-c2ccccc2)cc(CC)[n+]1CC(=O)Nc1ccc(S(N)(=O)=O)cc1F.[O-][Cl+3]([O-])([O-])[O-],Ki,B,7.8,<rdkit.Chem.rdchem.Mol object at 0x14529d580>,777,8.299137338923541e-07,1286.0228818827163,33490713.476370994,-2.9699999999999993,777,777,777,777,-1.5648999999999964,117.23190000000004,541.9850000000001,541.1085770399999,36,516.7850000000002,3,10,7,2,13,7,194,777,777,777,3,0.21739130434782608,777,777,185.38,209.78587439083825,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL100860,CC(C)c1cc(-c2ccccc2)cc(C(C)C)[n+]1CC(=O)Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1.[O-][Cl+3]([O-])([O-])[O-],Ki,B,8.3,<rdkit.Chem.rdchem.Mol object at 0x14529d5e0>,777,1.067706761405769e-06,1844.8828504853743,4162388824.952744,-3.59,777,777,777,777,-0.9296999999999951,157.41339999999974,715.2320000000002,714.100317252,46,683.9840000000003,4,15,12,3,19,10,248,777,777,777,4,0.25925925925925924,777,777,257.33,271.7660682995017,777,777,777,777,777,777,777,777,777
