standard_relation,standard_value,standard_units,standard_type,pchembl_value,data_validity_comment,potential_duplicate,assay_chembl_id,assay_type,description,canonical_smiles,molecule_chembl_id,target_chembl_id
=,0.01,nM,Ki,11,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,COc1ccc(-c2cnc(C(=O)N3CCCC3)o2)cc1S(N)(=O)=O,CHEMBL3608883,CHEMBL205
=,0.01,nM,Ki,11,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,Cc1ccc(-c2cnc(C(=O)N3CCCC3)o2)cc1S(N)(=O)=O,CHEMBL3608881,CHEMBL205
=,0.01,nM,Ki,11,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,Cc1ncc(-c2csc(S(N)(=O)=O)c2)o1,CHEMBL3608890,CHEMBL205
=,0.01,nM,Ki,11,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,NS(=O)(=O)c1cc(-c2cnc(C3CCC3)o2)cs1,CHEMBL3608892,CHEMBL205
=,0.01,nM,Ki,11,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,NS(=O)(=O)c1ccc(-c2cnc(C(=O)N3CCCC3)o2)s1,CHEMBL3608888,CHEMBL205
=,0.01,nM,Ki,11,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,NS(=O)(=O)c1ccc(-c2cnc(C3CC3)o2)cc1,CHEMBL3608871,CHEMBL205
=,0.01,nM,Ki,11,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,NS(=O)(=O)c1ccc(-c2cnc(C3CCC3)o2)s1,CHEMBL3608887,CHEMBL205
=,0.02,nM,Ki,10.7,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,NS(=O)(=O)c1cc(-c2cnc(C(=O)N3CCCC3)o2)cs1,CHEMBL3608893,CHEMBL205
=,0.02,nM,Ki,10.7,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,NS(=O)(=O)c1ccc(-c2cnc(C(=O)N3CCOCC3)o2)s1,CHEMBL3608889,CHEMBL205
=,0.02,nM,Ki,10.7,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,NS(=O)(=O)c1ccc(-c2cnc(C3CCC3)o2)cc1,CHEMBL3608872,CHEMBL205
=,0.03,nM,Ki,10.52,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,NS(=O)(=O)c1cc(-c2cnc(C(=O)N3CCOCC3)o2)cs1,CHEMBL3608894,CHEMBL205
=,0.0488,nM,Ki,10.31,,0,CHEMBL3588577,B,Inhibition of esterase activity of carbonic anhydrase 2 in human erythrocytes using PNF as substrate by spectrophotometer analysis,COc1ccc(OC)c(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)c1,CHEMBL3585778,CHEMBL205
=,0.05,nM,Ki,10.3,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,COc1ccc(-c2cnc(C(=O)N3CCOCC3)o2)cc1S(N)(=O)=O,CHEMBL3608884,CHEMBL205
=,0.05,nM,Ki,10.3,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,Cc1ncc(-c2ccc(S(N)(=O)=O)cc2)o1,CHEMBL3608870,CHEMBL205
=,0.0603,nM,Ki,10.22,,0,CHEMBL3588577,B,Inhibition of esterase activity of carbonic anhydrase 2 in human erythrocytes using PNF as substrate by spectrophotometer analysis,COc1ccccc1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,CHEMBL3585775,CHEMBL205
=,0.07,nM,Ki,10.15,,0,CHEMBL3602573,B,Inhibition of human carbonic anhydrase-2,NS(=O)(=O)c1ccc(/N=c2\scc(-c3cccs3)n2C2CCCCC2)cc1,CHEMBL3601892,CHEMBL205
=,0.0888,nM,Ki,10.05,,0,CHEMBL3588577,B,Inhibition of esterase activity of carbonic anhydrase 2 in human erythrocytes using PNF as substrate by spectrophotometer analysis,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1OC,CHEMBL3585777,CHEMBL205
=,0.1051,nM,Ki,9.98,,0,CHEMBL3588577,B,Inhibition of esterase activity of carbonic anhydrase 2 in human erythrocytes using PNF as substrate by spectrophotometer analysis,COc1cccc(OC)c1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,CHEMBL3585779,CHEMBL205
=,0.1259,nM,Ki,9.9,,0,CHEMBL2329241,B,Inhibition of human recombinant carbonic anhydrase 2 by dansylamide (DNSA) competition assay,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CHEMBL220491,CHEMBL205
=,0.1368,nM,Ki,9.86,,0,CHEMBL3588577,B,Inhibition of esterase activity of carbonic anhydrase 2 in human erythrocytes using PNF as substrate by spectrophotometer analysis,COc1cccc(OC)c1C(C)NS(N)(=O)=O,CHEMBL3585784,CHEMBL205
=,0.14,nM,Ki,9.85,,0,CHEMBL658729,B,Compound was evaluated for the inhibitory constant towards Human Carbonic anhydrase II (HCA II),CCC[C@H]1C[C@H](NCC)c2cc(S(N)(=O)=O)sc2S1(=O)=O,CHEMBL273599,CHEMBL205
=,0.1561,nM,Ki,9.81,,0,CHEMBL3588577,B,Inhibition of esterase activity of carbonic anhydrase 2 in human erythrocytes using PNF as substrate by spectrophotometer analysis,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1,CHEMBL3585776,CHEMBL205
=,0.17,nM,Ki,9.77,,0,CHEMBL3602837,B,Inhibition of human carbonic anhydrase-2 incubated for 10 mins prior to testing by stopped-flow CO2 hydrase assay,CC(=O)N1N=C(c2ccccc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,CHEMBL3601459,CHEMBL205
=,0.17,nM,Ki,9.77,,0,CHEMBL658729,B,Compound was evaluated for the inhibitory constant towards Human Carbonic anhydrase II (HCA II),CCC[C@@H]1C[C@H](NCC)c2cc(S(N)(=O)=O)sc2S1(=O)=O,CHEMBL415964,CHEMBL205
=,0.18,nM,Ki,9.74,,0,CHEMBL4136600,B,Inhibition of recombinant human carbonic anhydrase 2 incubated for 15 mins by stopped flow CO2 hydrase assay,C=C(C)[C@@H]1CCC(C)(O)C([Se]c2ccc(S(N)(=O)=O)cc2)C1,CHEMBL4164295,CHEMBL205
=,0.1927,nM,Ki,9.71,,0,CHEMBL3588577,B,Inhibition of esterase activity of carbonic anhydrase 2 in human erythrocytes using PNF as substrate by spectrophotometer analysis,COc1ccccc1C(C)NS(N)(=O)=O,CHEMBL3585780,CHEMBL205
=,0.1995,nM,Ki,9.7,,0,CHEMBL2329241,B,Inhibition of human recombinant carbonic anhydrase 2 by dansylamide (DNSA) competition assay,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CHEMBL218490,CHEMBL205
=,0.2,nM,Ki,9.7,,0,CHEMBL3414019,B,Inhibition of human carbonic anhydrase 2,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(-[n+]3ccccc3)cc2)s1.[O-][Cl+3]([O-])([O-])[O-],CHEMBL3408993,CHEMBL205
=,0.2,nM,Ki,9.7,,0,CHEMBL657145,B,Inhibition constant (Ki) against human cloned carbonic anhydrase II (CAH),Nc1c(F)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Br,CHEMBL304757,CHEMBL205
=,0.2,nM,Ki,9.7,,0,CHEMBL657194,B,Inhibition of human recombinant carbonic anhydrase II (CA2),NS(=O)(=O)c1nc2ccc(NS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,CHEMBL140110,CHEMBL205
=,0.2,nM,Ki,9.7,,0,CHEMBL658041,B,Inhibition constant evaluated for the inhibition of human CA II (Carbonic anhydrase II),Cc1cc(-c2ccccc2)cc(C)[n+]1-c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1.[O-][Cl+3]([O-])([O-])[O-],CHEMBL77402,CHEMBL205
=,0.21,nM,Ki,9.68,,0,CHEMBL4015664,B,Inhibition of human carbonic anhydrase 2 incubated for 15 mins prior to testing by stopped flow CO2 hydration assay,NS(=O)(=O)c1ccc(C(=O)N2CCc3cc(O)c(O)cc3C2c2ccc(F)cc2)cc1,CHEMBL4073364,CHEMBL205
=,0.21,nM,Ki,9.68,,0,CHEMBL658041,B,Inhibition constant evaluated for the inhibition of human CA II (Carbonic anhydrase II),CCc1cc(-c2ccccc2)cc(CC)[n+]1-c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1.[O-][Cl+3]([O-])([O-])[O-],CHEMBL75812,CHEMBL205
=,0.25,nM,Ki,9.6,,0,CHEMBL3767105,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration assay,Cc1ccc2nc(S)n(-c3ccc(S(N)(=O)=O)cc3)c(=O)c2c1,CHEMBL3765745,CHEMBL205
=,0.26,nM,Ki,9.59,,0,CHEMBL3602837,B,Inhibition of human carbonic anhydrase-2 incubated for 10 mins prior to testing by stopped-flow CO2 hydrase assay,CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,CHEMBL3601463,CHEMBL205
=,0.26,nM,Ki,9.59,,0,CHEMBL658041,B,Inhibition constant evaluated for the inhibition of human CA II (Carbonic anhydrase II),Cc1cc(C)[n+](-c2ccc(S(=O)(=O)Nc3nnc(S(N)(=O)=O)s3)cc2)c(C)c1.[O-][Cl+3]([O-])([O-])[O-],CHEMBL264618,CHEMBL205
=,0.27,nM,Ki,9.57,,0,CHEMBL4035710,B,Competitive inhibition of carbonic anhydrase-2 in human erythrocyte membranes assessed as reduction in H+ release using CO2 as substrate by Lineweaver-Burk plot analysis,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,CHEMBL4100496,CHEMBL205
=,0.28,nM,Ki,9.55,,0,CHEMBL3610378,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method,Cc1ccc(-c2cnc(C(=O)N3CCOCC3)o2)cc1S(N)(=O)=O,CHEMBL3608882,CHEMBL205
=,0.28,nM,Ki,9.55,,0,CHEMBL4015664,B,Inhibition of human carbonic anhydrase 2 incubated for 15 mins prior to testing by stopped flow CO2 hydration assay,NS(=O)(=O)c1ccc(C(=O)N2CCc3cc(O)c(O)cc3C2c2ccc(Br)cc2)cc1,CHEMBL4099267,CHEMBL205
=,0.28,nM,Ki,9.55,,0,CHEMBL658047,B,Tested for ability to compete with dansylamide for binding to human erythrocyte carbonic-anhydrase-II (HCA-II),CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CHEMBL218490,CHEMBL205
=,0.29,nM,Ki,9.54,,0,CHEMBL4015664,B,Inhibition of human carbonic anhydrase 2 incubated for 15 mins prior to testing by stopped flow CO2 hydration assay,NS(=O)(=O)c1ccc(C(=O)N2CCc3cc(O)c(O)cc3C2c2ccc(Cl)cc2)cc1,CHEMBL4081248,CHEMBL205
=,0.3,nM,Ki,9.52,,0,CHEMBL1947441,B,Inhibition of human recombinant carbonic anhydrase 2 after 15 mins by stopped flow CO2 hydration assay,Nc1c(F)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Cl,CHEMBL71611,CHEMBL205
=,0.3,nM,Ki,9.52,,0,CHEMBL3584204,B,Inhibition of carbonic anhydrase-2 (unknown origin) incubated for 15 mins prior to testing by stopped-flow CO2 hydration assay,CC(C)c1cccc(NC(=O)Nc2ccc(S(N)(=O)=O)cc2)c1,CHEMBL3582347,CHEMBL205
=,0.3,nM,Ki,9.52,,0,CHEMBL3602837,B,Inhibition of human carbonic anhydrase-2 incubated for 10 mins prior to testing by stopped-flow CO2 hydrase assay,CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,CHEMBL3601464,CHEMBL205
=,0.3,nM,Ki,9.52,,0,CHEMBL657145,B,Inhibition constant (Ki) against human cloned carbonic anhydrase II (CAH),Nc1c(F)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1I,CHEMBL308677,CHEMBL205
=,0.3,nM,Ki,9.52,,0,CHEMBL657194,B,Inhibition of human recombinant carbonic anhydrase II (CA2),Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,CHEMBL138253,CHEMBL205
=,0.3,nM,Ki,9.52,,0,CHEMBL657194,B,Inhibition of human recombinant carbonic anhydrase II (CA2),NS(=O)(=O)c1nc2ccc(OS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,CHEMBL142132,CHEMBL205
=,0.3,nM,Ki,9.52,,0,CHEMBL657194,B,Inhibition of human recombinant carbonic anhydrase II (CA2),NS(=O)(=O)c1nnc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)s1,CHEMBL94836,CHEMBL205
=,0.3,nM,Ki,9.52,,0,CHEMBL658041,B,Inhibition constant evaluated for the inhibition of human CA II (Carbonic anhydrase II),Cc1cc(C)[n+](-c2ccc(S(=O)(=O)Nc3nnc(S(N)(=O)=O)s3)cc2)c(C)c1C.[O-][Cl+3]([O-])([O-])[O-],CHEMBL76206,CHEMBL205
=,0.3,nM,Ki,9.52,,0,CHEMBL658729,B,Compound was evaluated for the inhibitory constant towards Human Carbonic anhydrase II (HCA II),CCN[C@H]1C[C@H](CC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CHEMBL9688,CHEMBL205
=,0.31,nM,Ki,9.51,,0,CHEMBL3767105,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration assay,NS(=O)(=O)c1ccc(-n2c(S)nc3c(Cl)cccc3c2=O)cc1,CHEMBL3763168,CHEMBL205
=,0.35,nM,Ki,9.46,,0,CHEMBL3767105,B,Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration assay,COc1cc2c(=O)n(-c3ccc(S(N)(=O)=O)cc3)c(S)nc2c(OC)c1OC,CHEMBL3763877,CHEMBL205
=,0.372,nM,Ki,9.43,,0,CHEMBL659848,B,Dissociation constant against Carbonic anhydrase II was reported in experiment 1,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CHEMBL218490,CHEMBL205
=,0.3838,nM,Ki,9.42,,0,CHEMBL3588577,B,Inhibition of esterase activity of carbonic anhydrase 2 in human erythrocytes using PNF as substrate by spectrophotometer analysis,COc1ccc(OC)c(C(C)NS(N)(=O)=O)c1,CHEMBL3585783,CHEMBL205
=,0.39,nM,Ki,9.41,,0,CHEMBL658041,B,Inhibition constant evaluated for the inhibition of human CA II (Carbonic anhydrase II),Cc1cc(C)[n+](-c2ccc(S(=O)(=O)Nc3nnc(S(N)(=O)=O)s3)cc2)c(C(C)C)c1.[O-][Cl+3]([O-])([O-])[O-],CHEMBL75595,CHEMBL205
=,0.4,nM,Ki,9.4,,0,CHEMBL4034206,B,Inhibition of human carbonic anhydrase 2 incubated for 10 mins by stopped flow CO2 hydrase assay,NS(=O)(=O)c1nnc(/N=C/c2cccc(/C=N/c3nnc(S(N)(=O)=O)s3)c2)s1,CHEMBL4084006,CHEMBL205
=,0.4,nM,Ki,9.4,,0,CHEMBL657194,B,Inhibition of human recombinant carbonic anhydrase II (CA2),NS(=O)(=O)c1nnc(NC(=O)CCNS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)s1,CHEMBL138920,CHEMBL205
=,0.4,nM,Ki,9.4,,0,CHEMBL658042,B,Inhibitory activity against Human carbonic anhydrase II,Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C)CC(=O)O)CC(=O)O.[Zn],CHEMBL1795056,CHEMBL205
=,0.4,nM,Ki,9.4,,0,CHEMBL824220,B,"Inhibition of cloned isozyme, human carbonic anhydrase II",Cn1nc(S(N)(=O)=O)s/c1=N\C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C)CC(=O)[O-])CC(=O)[O-].[Zn+2],CHEMBL2111218,CHEMBL205
=,0.41,nM,Ki,9.39,,0,CHEMBL3811428,B,Inhibition of human recombinant CA2 preincubated for 15 mins prior to testing by stopped flow CO2 hydrase assay,NS(=O)(=O)c1ccc(Nc2csc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1,CHEMBL3808876,CHEMBL205
=,0.44,nM,Ki,9.36,,0,CHEMBL658941,B,In vitro binding affinity against human carbonic anhydrase II,Cl.NS(=O)(=O)c1cc2cc(CN3CCSCC3)sc2s1,CHEMBL555543,CHEMBL205
=,0.44,nM,Ki,9.36,,0,CHEMBL659851,B,Dissociation constant was reported against Carbonic anhydrase II,NS(=O)(=O)c1cc2cc(N3CCSCC3)sc2s1,CHEMBL333281,CHEMBL205
=,0.4539,nM,Ki,9.34,,0,CHEMBL3588577,B,Inhibition of esterase activity of carbonic anhydrase 2 in human erythrocytes using PNF as substrate by spectrophotometer analysis,COc1ccc(C(C)NS(N)(=O)=O)cc1OC,CHEMBL3585782,CHEMBL205
=,0.47,nM,Ki,9.33,,0,CHEMBL3811428,B,Inhibition of human recombinant CA2 preincubated for 15 mins prior to testing by stopped flow CO2 hydrase assay,NS(=O)(=O)c1ccc(Nc2nc(N3CCCCC3)cs2)cc1,CHEMBL3809959,CHEMBL205
=,0.49,nM,Ki,9.31,,0,CHEMBL659853,B,In vitro binding to human erythrocyte carbonic anhydrase was determined by fluorescence competition assay employing the fluorescent CA inhibitor dansylamide,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CHEMBL18,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL3815664,B,Inhibition of human recombinant CA2 expressed in Escherichia coli preincubated for 15 mins by stopped-flow CO2 hydration assay,NS(=O)(=O)c1nnc(NC(=O)c2ccc(N3C4=C(C(=O)CCC4)C(c4ccc(Cl)cc4)C4=C3CCCC4=O)cc2)s1,CHEMBL3814523,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL3879546,B,Inhibition of recombinant human carbonic anhydrase 2 assessed as reduction in CO2 hydration preincubated for 15 mins by stopped flow assay,Nc1onc(-c2ccccc2[N+](=O)[O-])c1C(=O)Nc1ccc(S(N)(=O)=O)cc1,CHEMBL3986308,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL4047055,B,Inhibition of human recombinant carbonic anhydrase-2 preincubated for 10 mins by stopped-flow CO2 hydration assay,COc1ccc(/C=C/C(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1OC,CHEMBL4059984,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL657145,B,Inhibition constant (Ki) against human cloned carbonic anhydrase II (CAH),Nc1c(Br)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Br,CHEMBL69229,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL657145,B,Inhibition constant (Ki) against human cloned carbonic anhydrase II (CAH),Nc1c(Cl)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Cl,CHEMBL302706,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL657194,B,Inhibition of human recombinant carbonic anhydrase II (CA2),NS(=O)(=O)c1nc2ccc(NC(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,CHEMBL343916,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL657194,B,Inhibition of human recombinant carbonic anhydrase II (CA2),NS(=O)(=O)c1nc2ccc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,CHEMBL141753,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL657194,B,Inhibition of human recombinant carbonic anhydrase II (CA2),NS(=O)(=O)c1nc2ccc(OCCOS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,CHEMBL141624,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL657194,B,Inhibition of human recombinant carbonic anhydrase II (CA2),NS(=O)(=O)c1nc2ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,CHEMBL264879,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL657194,B,Inhibition of human recombinant carbonic anhydrase II (CA2),NS(=O)(=O)c1nc2ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,CHEMBL141899,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL658042,B,Inhibitory activity against Human carbonic anhydrase II,NS(=O)(=O)c1nc2ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc3ccc4nc(S(N)(=O)=O)sc4c3)CC(=O)O)CC(=O)O)cc2s1,CHEMBL286586,CHEMBL205
